time,linear_accel_x,linear_accel_y,linear_accel_z,angular_vel_x,angular_vel_y,angular_vel_z
0.197397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.297397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.497555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.697316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.797358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.997351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.197315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.297348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.497357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.597367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.697374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.897325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.097397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.198063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.397712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.597370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.697392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.897358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.097467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.297400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.397460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.597359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.797381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.897459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.097485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.297456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.497431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.697885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.898265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.097513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.297358,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
5.497367,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
5.597459,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
5.697526,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
5.897333,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.097356,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.197360,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.397392,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.597356,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.697366,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
6.898026,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.097403,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.197606,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.397375,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.597337,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.697349,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.797435,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.997328,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.097383,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.297434,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.497378,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.597382,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.797626,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
8.997331,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
9.197325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.297360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.397365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.597359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.697494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.897362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.997369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.197363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.297715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.397884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.498311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.697467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.897328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.997331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.097383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.297335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.397364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.497372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.599144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.797351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.997327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.097329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.297352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.497331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.597384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.697417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.898014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.097420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
