time,x,y,z,alpha
0.200000,0.000000,0.000000,0.000000,0.000000
0.300000,0.000000,0.000000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000
1.100000,0.000000,0.000000,0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,0.000000
1.300000,0.000000,0.000000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000
1.700000,0.000000,0.000000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,0.000000
1.900000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000
2.100000,0.000000,0.000000,0.000000,0.000000
2.200000,0.000000,0.000000,0.000000,0.000000
2.300000,0.000000,0.000000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,0.000000
2.700000,0.000000,0.000000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,0.000000
2.900000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.100000,0.000000,0.000000,0.000000,0.000000
3.200000,0.000000,0.000000,0.000000,0.000000
3.300000,0.000000,0.000000,0.000000,0.000000
3.400000,0.000000,0.000000,0.000000,0.000000
3.500000,0.000000,0.000000,0.000000,0.000000
3.600000,0.000000,0.000000,0.000000,0.000000
3.700000,0.000000,0.000000,0.000000,0.000000
3.800000,0.000000,0.000000,0.000000,0.000000
3.900000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.100000,0.000000,0.000000,0.000000,0.000000
4.200000,0.000000,0.000000,0.000000,0.000000
4.300000,0.000000,0.000000,0.000000,0.000000
4.400000,0.000000,0.000000,0.000000,0.000000
4.500000,0.000000,0.000000,0.000000,0.000000
4.600000,0.000000,0.000000,0.000000,0.000000
4.700000,0.000000,0.000000,0.000000,0.000000
4.800000,0.000000,0.000000,0.000000,0.000000
4.900000,0.000000,0.000000,0.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000
5.100000,0.000250,0.000000,0.000000,0.000000
5.200000,0.001250,0.000000,0.000000,0.000000
5.300000,0.003250,0.000000,0.000000,0.000000
5.400000,0.006250,0.000000,0.000000,0.000000
5.500000,0.010250,0.000000,0.000000,0.000000
5.600000,0.015250,0.000000,0.000000,0.000000
5.700000,0.021250,0.000000,0.000000,0.000000
5.800000,0.028250,0.000000,0.000000,0.000000
5.900000,0.036250,0.000000,0.000000,0.000000
6.000000,0.045250,0.000000,0.000000,0.000000
6.100000,0.055250,0.000000,0.000000,0.000000
6.200000,0.066250,0.000000,0.000000,0.000000
6.300000,0.078250,0.000000,0.000000,0.000000
6.400000,0.091250,0.000000,0.000000,0.000000
6.500000,0.105250,0.000000,0.000000,0.000000
6.600000,0.120250,0.000000,0.000000,0.000000
6.700000,0.136250,0.000000,0.000000,0.000000
6.800000,0.153250,0.000000,0.000000,0.000000
6.900000,0.171250,0.000000,0.000000,0.000000
7.000000,0.190250,0.000000,0.000000,0.000000
7.100000,0.210250,0.000000,0.000000,0.000000
7.200000,0.231250,0.000000,0.000000,0.000000
7.300000,0.253250,0.000000,0.000000,0.000000
