time,linear_x,linear_y,linear_z,angular_z
0.120000,0.000000,0.000000,0.000000,0.000000
0.270000,0.000000,0.000000,0.000000,0.000000
0.410000,0.000000,0.000000,0.000000,0.000000
0.570000,0.000000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000,0.000000
0.880000,0.000000,0.000000,0.000000,0.000000
1.010000,0.000000,0.000000,0.000000,0.000000
1.150000,0.000000,0.000000,0.000000,0.000000
1.290000,0.000000,0.000000,0.000000,0.000000
1.420000,0.000000,0.000000,0.000000,0.000000
1.590000,0.000000,0.000000,0.000000,0.000000
1.730000,0.000000,0.000000,0.000000,0.000000
1.870000,0.000000,0.000000,0.000000,0.000000
2.170000,0.000000,0.000000,0.000000,0.000000
2.330000,0.000000,0.000000,0.000000,0.000000
2.470000,0.000000,0.000000,0.000000,0.000000
2.660000,0.000000,0.000000,0.000000,0.000000
2.860000,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000
3.140000,0.000000,0.000000,0.000000,0.000000
3.310000,0.000000,0.000000,0.000000,0.000000
3.450000,0.000000,0.000000,0.000000,0.000000
3.630000,0.000000,0.000000,0.000000,0.000000
3.780000,0.000000,0.000000,0.000000,0.000000
3.920000,0.000000,0.000000,0.000000,0.000000
4.070000,0.000000,0.000000,0.000000,0.000000
4.250000,0.000000,0.000000,0.000000,0.000000
4.410000,0.000000,0.000000,0.000000,0.000000
4.590000,0.000000,0.000000,0.000000,0.000000
4.720000,0.000000,0.000000,0.000000,0.000000
4.860000,0.000000,0.000000,0.000000,0.000000
5.020000,0.000000,0.000000,0.000000,0.000000
5.170000,0.000650,0.000000,0.000000,0.000000
5.320000,0.002300,0.000000,0.000000,0.000000
5.470000,0.005300,0.000000,0.000000,0.000000
5.490000,0.005700,0.000000,0.000000,0.000000
5.520000,0.006450,0.000000,0.000000,0.000000
5.550000,0.007350,0.000000,0.000000,0.000000
5.580000,0.008250,0.000000,0.000000,0.000000
5.610000,0.009150,0.000000,0.000000,0.000000
5.640000,0.010050,0.000000,0.000000,0.000000
5.660000,0.010650,0.000000,0.000000,0.000000
5.690000,0.011550,0.000000,0.000000,0.000000
5.730000,0.013000,0.000000,0.000000,0.000000
5.750000,0.013800,0.000000,0.000000,0.000000
5.790000,0.015400,0.000000,0.000000,0.000000
5.810000,0.016200,0.000000,0.000000,0.000000
5.840000,0.017400,0.000000,0.000000,0.000000
5.870000,0.018600,0.000000,0.000000,0.000000
5.900000,0.019800,0.000000,0.000000,0.000000
5.930000,0.021250,0.000000,0.000000,0.000000
5.960000,0.022750,0.000000,0.000000,0.000000
5.990000,0.024250,0.000000,0.000000,0.000000
6.010000,0.025250,0.000000,0.000000,0.000000
6.040000,0.026750,0.000000,0.000000,0.000000
6.070000,0.028250,0.000000,0.000000,0.000000
6.110000,0.030300,0.000000,0.000000,0.000000
6.140000,0.032100,0.000000,0.000000,0.000000
6.170000,0.033900,0.000000,0.000000,0.000000
6.190000,0.035100,0.000000,0.000000,0.000000
6.220000,0.036900,0.000000,0.000000,0.000000
6.240000,0.038100,0.000000,0.000000,0.000000
6.270000,0.039900,0.000000,0.000000,0.000000
6.300000,0.041700,0.000000,0.000000,0.000000
6.330000,0.043750,0.000000,0.000000,0.000000
6.350000,0.045150,0.000000,0.000000,0.000000
6.380000,0.047250,0.000000,0.000000,0.000000
