time,x,y,z,alpha
0.300074,0.000000,0.000000,0.000000,0.000000
0.400047,0.000000,0.000000,0.000000,0.000000
0.499992,0.000000,0.000000,0.000000,0.000000
0.600251,0.000000,0.000000,0.000000,0.000000
0.699946,0.000000,0.000000,0.000000,0.000000
0.800080,0.000000,0.000000,0.000000,0.000000
0.899982,0.000000,0.000000,0.000000,0.000000
0.999954,0.000000,0.000000,0.000000,0.000000
1.099934,0.000000,0.000000,0.000000,0.000000
1.199967,0.000000,0.000000,0.000000,0.000000
1.299947,0.000000,0.000000,0.000000,0.000000
1.399954,0.000000,0.000000,0.000000,0.000000
1.499991,0.000000,0.000000,0.000000,0.000000
1.600045,0.000000,0.000000,0.000000,0.000000
1.699970,0.000000,0.000000,0.000000,0.000000
1.799981,0.000000,0.000000,0.000000,0.000000
1.900085,0.000000,0.000000,0.000000,0.000000
1.999992,0.000000,0.000000,0.000000,0.000000
2.100002,0.000000,0.000000,0.000000,0.000000
2.200020,0.000000,0.000000,0.000000,0.000000
2.300091,0.000000,0.000000,0.000000,0.000000
2.400081,0.000000,0.000000,0.000000,0.000000
2.500020,0.000000,0.000000,0.000000,0.000000
2.600281,0.000000,0.000000,0.000000,0.000000
2.700109,0.000000,0.000000,0.000000,0.000000
2.799910,0.000000,0.000000,0.000000,0.000000
2.899963,0.000000,0.000000,0.000000,0.000000
3.000002,0.000000,0.000000,0.000000,0.000000
3.100008,0.000000,0.000000,0.000000,0.000000
3.200084,0.000000,0.000000,0.000000,0.000000
3.300004,0.000000,0.000000,0.000000,0.000000
3.400144,0.000000,0.000000,0.000000,0.000000
3.500083,0.000000,0.000000,0.000000,0.000000
3.600023,0.000000,0.000000,0.000000,0.000000
3.700081,0.000000,0.000000,0.000000,0.000000
3.800212,0.000000,0.000000,0.000000,0.000000
3.900093,0.000000,0.000000,0.000000,0.000000
3.999968,0.000000,0.000000,0.000000,0.000000
4.100024,0.000000,0.000000,0.000000,0.000000
4.200099,0.000000,0.000000,0.000000,0.000000
4.299981,0.000000,0.000000,0.000000,0.000000
4.400134,0.000000,0.000000,0.000000,0.000000
4.500117,0.000000,0.000000,0.000000,0.000000
4.600239,0.000000,0.000000,0.000000,0.000000
4.699949,0.000000,0.000000,0.000000,0.000000
4.800064,0.000013,0.000000,0.000000,0.000000
4.899999,0.000075,0.000000,0.000000,0.000000
5.000009,0.000237,0.000000,0.000000,0.000000
5.100086,0.000550,0.000000,0.000000,0.000000
5.200211,0.001064,0.000000,0.000000,0.000000
5.299961,0.001824,0.000000,0.000000,0.000000
5.400201,0.002890,0.000000,0.000000,0.000000
5.500031,0.004300,0.000000,0.000000,0.000000
5.600076,0.006113,0.000000,0.000000,0.000000
5.699990,0.008373,0.000000,0.000000,0.000000
5.800024,0.011137,0.000000,0.000000,0.000000
5.900022,0.014449,0.000000,0.000000,0.000000
6.000135,0.018366,0.000000,0.000000,0.000000
6.100036,0.022924,0.000000,0.000000,0.000000
6.200264,0.028199,0.000000,0.000000,0.000000
6.299994,0.034196,0.000000,0.000000,0.000000
6.400096,0.041015,0.000000,0.000000,0.000000
6.500101,0.048678,0.000000,0.000000,0.000000
6.600227,0.057253,0.000000,0.000000,0.000000
6.699990,0.066743,0.000000,0.000000,0.000000
6.800311,0.077265,0.000000,0.000000,0.000000
6.900089,0.088678,0.000000,0.000000,0.000000
7.000142,0.101023,0.000000,0.000000,0.000000
7.099960,0.114186,0.000000,0.000000,0.000000
7.200124,0.128196,0.000000,0.000000,0.000000
7.300028,0.142920,0.000000,0.000000,0.000000
7.400055,0.158361,0.000000,0.000000,0.000000
7.500017,0.174443,0.000000,0.000000,0.000000
7.599913,0.191112,0.000000,0.000000,0.000000
7.699948,0.208355,0.000000,0.000000,0.000000
7.799897,0.226082,0.000000,0.000000,0.000000
7.899899,0.244270,0.000000,0.000000,0.000000
7.999910,0.262858,0.000000,0.000000,0.000000
8.099946,0.281802,0.000000,0.000000,0.000000
8.200060,0.301060,0.000000,0.000000,0.000000
8.299987,0.320533,0.000000,0.000000,0.000000
8.400199,0.340262,0.000000,0.000000,0.000000
8.499919,0.360043,0.000000,0.000000,0.000000
8.600064,0.380009,0.000000,0.000000,0.000000
8.699963,0.399976,0.000000,0.000000,0.000000
8.799943,0.419972,0.000000,0.000000,0.000000
8.900060,0.439994,0.000000,0.000000,0.000000
9.000079,0.459998,0.000000,0.000000,0.000000
9.099933,0.479968,0.000000,0.000000,0.000000
9.199950,0.499971,0.000000,0.000000,0.000000
9.299952,0.519971,0.000000,0.000000,0.000000
9.400072,0.539994,0.000000,0.000000,0.000000
9.499950,0.559969,0.000000,0.000000,0.000000
9.600013,0.579981,0.000000,0.000000,0.000000
9.699977,0.599974,0.000000,0.000000,0.000000
9.799995,0.619977,0.000000,0.000000,0.000000
9.900114,0.640000,0.000000,0.000000,0.000000
10.000135,0.660004,0.000000,0.000000,0.000000
10.100024,0.679981,0.000000,0.000000,0.000000
10.200112,0.699998,0.000000,0.000000,0.000000
10.299956,0.719966,0.000000,0.000000,0.000000
10.399951,0.739965,0.000000,0.000000,0.000000
10.500037,0.759981,0.000000,0.000000,0.000000
10.600209,0.780015,0.000000,0.000000,0.000000
10.699980,0.799969,0.000000,0.000000,0.000000
10.800076,0.819988,0.000000,0.000000,0.000000
10.900055,0.839983,0.000000,0.000000,0.000000
10.999944,0.859960,0.000000,0.000000,0.000000
11.099973,0.879965,0.000000,0.000000,0.000000
11.200028,0.899976,0.000000,0.000000,0.000000
11.299961,0.919962,0.000000,0.000000,0.000000
11.399973,0.939964,0.000000,0.000000,0.000000
11.499998,0.959968,0.000000,0.000000,0.000000
11.600279,0.980024,0.000000,0.000000,0.000000
11.700090,0.999986,0.000000,0.000000,0.000000
11.800010,1.019969,0.000000,0.000000,0.000000
11.900124,1.039991,0.000000,0.000000,0.000000
11.999986,1.059963,0.000000,0.000000,0.000000
12.099988,1.079963,0.000000,0.000000,0.000000
12.200048,1.099975,0.000000,0.000000,0.000000
12.300058,1.119976,0.000000,0.000000,0.000000
12.400038,1.139972,0.000000,0.000000,0.000000
12.500068,1.159977,0.000000,0.000000,0.000000
12.599947,1.179952,0.000000,0.000000,0.000000
12.699977,1.199958,0.000000,0.000000,0.000000
12.799969,1.219956,0.000000,0.000000,0.000000
12.900060,1.239973,0.000000,0.000000,0.000000
13.000106,1.259982,0.000000,0.000000,0.000000
13.100089,1.279978,0.000000,0.000000,0.000000
13.200019,1.299964,0.000000,0.000000,0.000000
13.299934,1.319946,0.000000,0.000000,0.000000
13.400011,1.339961,0.000000,0.000000,0.000000
13.499899,1.359938,0.000000,0.000000,0.000000
13.600004,1.379959,0.000000,0.000000,0.000000
13.700043,1.399966,0.000000,0.000000,0.000000
13.800003,1.419957,0.000000,0.000000,0.000000
13.900116,1.439979,0.000000,0.000000,0.000000
14.000110,1.459978,0.000000,0.000000,0.000000
14.100072,1.479970,0.000000,0.000000,0.000000
14.200067,1.499968,0.000000,0.000000,0.000000
14.299939,1.519942,0.000000,0.000000,0.000000
14.400013,1.539956,0.000000,0.000000,0.000000
14.500070,1.559967,0.000000,0.000000,0.000000
14.600006,1.579954,0.000000,0.000000,0.000000
14.700074,1.599967,0.000000,0.000000,0.000000
14.799954,1.619930,0.000000,0.000000,0.000000
14.900094,1.639895,0.000000,0.000000,0.000000
14.999962,1.659705,0.000000,0.000000,0.000000
15.100023,1.679404,0.000000,0.000000,0.000000
15.199993,1.698886,0.000000,0.000000,0.000000
15.300006,1.718125,0.000000,0.000000,0.000000
15.399995,1.737060,0.000000,0.000000,0.000000
15.500110,1.755668,0.000000,0.000000,0.000000
15.600125,1.773857,0.000000,0.000000,0.000000
15.700026,1.791577,0.000000,0.000000,0.000000
15.800045,1.808817,0.000000,0.000000,0.000000
15.899939,1.825486,0.000000,0.000000,0.000000
16.000080,1.841596,0.000000,0.000000,0.000000
16.100000,1.857021,0.000000,0.000000,0.000000
