time,x,y,z,alpha
0.750055,0.000000,0.000000,0.000000,0.000000
1.000028,0.000000,0.000000,0.000000,0.000000
1.250151,0.000000,0.000000,0.000000,0.000000
1.500032,0.000000,0.000000,0.000000,0.000000
1.750252,0.000000,0.000000,0.000000,0.000000
2.000231,0.000000,0.000000,0.000000,0.000000
2.250227,0.000000,0.000000,0.000000,0.000000
2.500218,0.000000,0.000000,0.000000,0.000000
2.750221,0.000000,0.000000,0.000000,0.000000
3.000206,0.000000,0.000000,0.000000,0.000000
3.250133,0.000000,0.000000,0.000000,0.000000
3.500219,0.000000,0.000000,0.000000,0.000000
3.750210,0.000000,0.000000,0.000000,0.000000
4.000239,0.000000,0.000000,0.000000,0.000000
4.250152,0.000000,0.000000,0.000000,0.000000
4.500164,0.000000,0.000000,0.000000,0.000000
4.750237,0.000000,0.000000,0.000000,0.000000
5.000333,0.000000,0.000000,0.000000,0.000000
5.250171,0.000195,0.000000,0.000000,0.000000
5.500150,0.001171,0.000000,0.000000,0.000000
5.750162,0.003710,0.000000,0.000000,0.000000
6.000252,0.008595,0.000000,0.000000,0.000000
6.250154,0.016600,0.000000,0.000000,0.000000
6.500116,0.028511,0.000000,0.000000,0.000000
6.750244,0.045121,0.000000,0.000000,0.000000
7.000326,0.067201,0.000000,0.000000,0.000000
7.250161,0.095113,0.000000,0.000000,0.000000
7.500051,0.128495,0.000000,0.000000,0.000000
7.750153,0.166595,0.000000,0.000000,0.000000
8.000220,0.208597,0.000000,0.000000,0.000000
8.250162,0.253704,0.000000,0.000000,0.000000
8.500104,0.301153,0.000000,0.000000,0.000000
8.750120,0.350178,0.000000,0.000000,0.000000
9.000164,0.399990,0.000000,0.000000,0.000000
9.249988,0.449954,0.000000,0.000000,0.000000
9.500106,0.499976,0.000000,0.000000,0.000000
9.750025,0.549959,0.000000,0.000000,0.000000
10.000149,0.599983,0.000000,0.000000,0.000000
10.250225,0.649997,0.000000,0.000000,0.000000
10.500100,0.699971,0.000000,0.000000,0.000000
10.750156,0.749981,0.000000,0.000000,0.000000
11.000297,0.800008,0.000000,0.000000,0.000000
11.250146,0.849976,0.000000,0.000000,0.000000
11.500032,0.899952,0.000000,0.000000,0.000000
11.750402,0.950025,0.000000,0.000000,0.000000
12.000113,0.999966,0.000000,0.000000,0.000000
12.250098,1.049962,0.000000,0.000000,0.000000
12.500159,1.099973,0.000000,0.000000,0.000000
12.750036,1.149948,0.000000,0.000000,0.000000
13.000146,1.199968,0.000000,0.000000,0.000000
13.250092,1.249956,0.000000,0.000000,0.000000
13.500059,1.299949,0.000000,0.000000,0.000000
13.750144,1.349965,0.000000,0.000000,0.000000
14.000178,1.399970,0.000000,0.000000,0.000000
14.250031,1.449940,0.000000,0.000000,0.000000
14.500027,1.499938,0.000000,0.000000,0.000000
14.750153,1.549962,0.000000,0.000000,0.000000
15.000017,1.599934,0.000000,0.000000,0.000000
15.249977,1.649729,0.000000,0.000000,0.000000
15.500144,1.698784,0.000000,0.000000,0.000000
15.750261,1.746265,0.000000,0.000000,0.000000
16.000106,1.791352,0.000000,0.000000,0.000000
16.250163,1.833352,0.000000,0.000000,0.000000
16.500022,1.871416,0.000000,0.000000,0.000000
