time,x,y,z,alpha
1767710341.348932,0.000000,0.000000,0.000000,0.000000
1767710341.358905,0.000000,0.000000,0.000000,0.000000
1767710341.368920,0.000000,0.000000,0.000000,0.000000
1767710341.378853,0.000000,0.000000,0.000000,0.000000
1767710341.388827,0.000000,0.000000,0.000000,0.000000
1767710341.418890,0.000000,0.000000,0.000000,0.000000
1767710341.448896,0.000000,0.000000,0.000000,0.000000
1767710341.478988,0.000000,0.000000,0.000000,0.000000
1767710341.509032,0.000000,0.000000,0.000000,0.000000
1767710341.538886,0.000000,0.000000,0.000000,0.000000
1767710341.568858,0.000000,0.000000,0.000000,0.000000
1767710341.598865,0.000000,0.000000,0.000000,0.000000
1767710341.628822,0.000000,0.000000,0.000000,0.000000
1767710341.648845,0.000000,0.000000,0.000000,0.000000
1767710341.668852,0.000000,0.000000,0.000000,0.000000
1767710341.698954,0.000000,0.000000,0.000000,0.000000
1767710341.728854,0.000000,0.000000,0.000000,0.000000
0.510000,0.000000,0.000000,0.000000,0.000000
0.540000,0.000000,0.000000,0.000000,0.000000
0.570000,0.000000,0.000000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,0.000000
0.620000,0.000000,0.000000,0.000000,0.000000
0.650000,0.000000,0.000000,0.000000,0.000000
0.680000,0.000000,0.000000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000,0.000000
0.730000,0.000000,0.000000,0.000000,0.000000
0.770000,0.000000,0.000000,0.000000,0.000000
0.790000,0.000000,0.000000,0.000000,0.000000
0.820000,0.000000,0.000000,0.000000,0.000000
0.840000,0.000000,0.000000,0.000000,0.000000
0.870000,0.000000,0.000000,0.000000,0.000000
0.890000,0.000000,0.000000,0.000000,0.000000
0.920000,0.000000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000,0.000000
0.980000,0.000000,0.000000,0.000000,0.000000
1.010000,0.000000,0.000000,0.000000,0.000000
1.040000,0.000000,0.000000,0.000000,0.000000
1.060000,0.000000,0.000000,0.000000,0.000000
1.090000,0.000000,0.000000,0.000000,0.000000
1.120000,0.000000,0.000000,0.000000,0.000000
1.150000,0.000000,0.000000,0.000000,0.000000
1.180000,0.000000,0.000000,0.000000,0.000000
1.210000,0.000000,0.000000,0.000000,0.000000
1.240000,0.000000,0.000000,0.000000,0.000000
1.270000,0.000000,0.000000,0.000000,0.000000
1.300000,0.000000,0.000000,0.000000,0.000000
1.330000,0.000000,0.000000,0.000000,0.000000
1.360000,0.000000,0.000000,0.000000,0.000000
1.380000,0.000000,0.000000,0.000000,0.000000
1.410000,0.000000,0.000000,0.000000,0.000000
1.440000,0.000000,0.000000,0.000000,0.000000
1.480000,0.000000,0.000000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000,0.000000
1.530000,0.000000,0.000000,0.000000,0.000000
1.560000,0.000000,0.000000,0.000000,0.000000
1.590000,0.000000,0.000000,0.000000,0.000000
1.620000,0.000000,0.000000,0.000000,0.000000
1.640000,0.000000,0.000000,0.000000,0.000000
1.670000,0.000000,0.000000,0.000000,0.000000
1.700000,0.000000,0.000000,0.000000,0.000000
1.730000,0.000000,0.000000,0.000000,0.000000
1.760000,0.000000,0.000000,0.000000,0.000000
1.790000,0.000000,0.000000,0.000000,0.000000
1.810000,0.000000,0.000000,0.000000,0.000000
1.840000,0.000000,0.000000,0.000000,0.000000
1.870000,0.000000,0.000000,0.000000,0.000000
1.900000,0.000000,0.000000,0.000000,0.000000
1.930000,0.000000,0.000000,0.000000,0.000000
1.960000,0.000000,0.000000,0.000000,0.000000
1.990000,0.000000,0.000000,0.000000,0.000000
2.010000,0.000000,0.000000,0.000000,0.000000
2.040000,0.000000,0.000000,0.000000,0.000000
2.070000,0.000000,0.000000,0.000000,0.000000
2.100000,0.000000,0.000000,0.000000,0.000000
2.120000,0.000000,0.000000,0.000000,0.000000
2.150000,0.000000,0.000000,0.000000,0.000000
2.180000,0.000000,0.000000,0.000000,0.000000
2.210000,0.000000,0.000000,0.000000,0.000000
2.240000,0.000000,0.000000,0.000000,0.000000
2.270000,0.000000,0.000000,0.000000,0.000000
2.300000,0.000000,0.000000,0.000000,0.000000
2.330000,0.000000,0.000000,0.000000,0.000000
2.370000,0.000000,0.000000,0.000000,0.000000
2.390000,0.000000,0.000000,0.000000,0.000000
2.420000,0.000000,0.000000,0.000000,0.000000
2.450000,0.000000,0.000000,0.000000,0.000000
2.470000,0.000000,0.000000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,0.000000
2.530000,0.000000,0.000000,0.000000,0.000000
2.550000,0.000000,0.000000,0.000000,0.000000
2.610000,0.000000,0.000000,0.000000,0.000000
2.640000,0.000000,0.000000,0.000000,0.000000
2.660000,0.000000,0.000000,0.000000,0.000000
2.690000,0.000000,0.000000,0.000000,0.000000
2.720000,0.000000,0.000000,0.000000,0.000000
2.750000,0.000000,0.000000,0.000000,0.000000
2.780000,0.000000,0.000000,0.000000,0.000000
2.820000,0.000000,0.000000,0.000000,0.000000
2.850000,0.000000,0.000000,0.000000,0.000000
2.880000,0.000000,0.000000,0.000000,0.000000
2.910000,0.000000,0.000000,0.000000,0.000000
2.930000,0.000000,0.000000,0.000000,0.000000
2.970000,0.000000,0.000000,0.000000,0.000000
2.990000,0.000000,0.000000,0.000000,0.000000
3.020000,0.000000,0.000000,0.000000,0.000000
3.050000,0.000000,0.000000,0.000000,0.000000
3.080000,0.000000,0.000000,0.000000,0.000000
3.110000,0.000000,0.000000,0.000000,0.000000
3.140000,0.000000,0.000000,0.000000,0.000000
3.170000,0.000000,0.000000,0.000000,0.000000
3.200000,0.000000,0.000000,0.000000,0.000000
3.230000,0.000000,0.000000,0.000000,0.000000
3.260000,0.000000,0.000000,0.000000,0.000000
3.290000,0.000000,0.000000,0.000000,0.000000
3.320000,0.000000,0.000000,0.000000,0.000000
3.350000,0.000000,0.000000,0.000000,0.000000
3.380000,0.000000,0.000000,0.000000,0.000000
3.420000,0.000000,0.000000,0.000000,0.000000
3.440000,0.000000,0.000000,0.000000,0.000000
3.470000,0.000000,0.000000,0.000000,0.000000
3.500000,0.000000,0.000000,0.000000,0.000000
3.530000,0.000000,0.000000,0.000000,0.000000
3.560000,0.000000,0.000000,0.000000,0.000000
3.590000,0.000000,0.000000,0.000000,0.000000
3.620000,0.000000,0.000000,0.000000,0.000000
3.650000,0.000000,0.000000,0.000000,0.000000
3.680000,0.000000,0.000000,0.000000,0.000000
3.720000,0.000000,0.000000,0.000000,0.000000
3.750000,0.000000,0.000000,0.000000,0.000000
3.780000,0.000000,0.000000,0.000000,0.000000
3.810000,0.000000,0.000000,0.000000,0.000000
3.840000,0.000000,0.000000,0.000000,0.000000
3.870000,0.000000,0.000000,0.000000,0.000000
3.900000,0.000000,0.000000,0.000000,0.000000
3.930000,0.000000,0.000000,0.000000,0.000000
3.960000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000
4.030000,0.000000,0.000000,0.000000,0.000000
4.060000,0.000000,0.000000,0.000000,0.000000
4.090000,0.000000,0.000000,0.000000,0.000000
4.120000,0.000000,0.000000,0.000000,0.000000
4.150000,0.000000,0.000000,0.000000,0.000000
4.180000,0.000000,0.000000,0.000000,0.000000
4.210000,0.000000,0.000000,0.000000,0.000000
4.240000,0.000000,0.000000,0.000000,0.000000
4.280000,0.000000,0.000000,0.000000,0.000000
4.310000,0.000000,0.000000,0.000000,0.000000
4.330000,0.000000,0.000000,0.000000,0.000000
4.360000,0.000000,0.000000,0.000000,0.000000
4.390000,0.000000,0.000000,0.000000,0.000000
4.420000,0.000000,0.000000,0.000000,0.000000
4.440000,0.000000,0.000000,0.000000,0.000000
4.480000,0.000000,0.000000,0.000000,0.000000
4.510000,0.000000,0.000000,0.000000,0.000000
4.530000,0.000000,0.000000,0.000000,0.000000
4.560000,0.000000,0.000000,0.000000,0.000000
4.590000,0.000000,0.000000,0.000000,0.000000
4.620000,0.000000,0.000000,0.000000,0.000000
4.650000,0.000000,0.000000,0.000000,0.000000
4.680000,0.000000,0.000000,0.000000,0.000000
4.720000,0.000000,0.000000,0.000000,0.000000
4.740000,0.000000,0.000000,0.000000,0.000000
4.780000,0.000000,0.000000,0.000000,0.000000
4.810000,0.000000,0.000000,0.000000,0.000000
4.840000,0.000000,0.000000,0.000000,0.000000
4.860000,0.000000,0.000000,0.000000,0.000000
4.890000,0.000000,0.000000,0.000000,0.000000
4.920000,0.000000,0.000000,0.000000,0.000000
4.950000,0.000000,0.000000,0.000000,0.000000
4.980000,0.000000,0.000000,0.000000,0.000000
5.010000,0.000003,0.000000,0.000000,0.000000
5.030000,0.000033,0.000000,0.000000,0.000000
5.070000,0.000213,0.000000,0.000000,0.000000
5.100000,0.000453,0.000000,0.000000,0.000000
5.120000,0.000663,0.000000,0.000000,0.000000
5.140000,0.000913,0.000000,0.000000,0.000000
5.180000,0.001533,0.000000,0.000000,0.000000
5.200000,0.001903,0.000000,0.000000,0.000000
5.230000,0.002533,0.000000,0.000000,0.000000
5.270000,0.003513,0.000000,0.000000,0.000000
5.290000,0.004063,0.000000,0.000000,0.000000
5.330000,0.005283,0.000000,0.000000,0.000000
5.360000,0.006303,0.000000,0.000000,0.000000
5.390000,0.007413,0.000000,0.000000,0.000000
5.410000,0.008203,0.000000,0.000000,0.000000
5.450000,0.009903,0.000000,0.000000,0.000000
5.480000,0.011283,0.000000,0.000000,0.000000
5.510000,0.012753,0.000000,0.000000,0.000000
5.530000,0.013783,0.000000,0.000000,0.000000
5.560000,0.015403,0.000000,0.000000,0.000000
5.590000,0.017113,0.000000,0.000000,0.000000
5.610000,0.018303,0.000000,0.000000,0.000000
5.650000,0.020803,0.000000,0.000000,0.000000
5.680000,0.022783,0.000000,0.000000,0.000000
5.710000,0.024853,0.000000,0.000000,0.000000
5.730000,0.026283,0.000000,0.000000,0.000000
5.760000,0.028503,0.000000,0.000000,0.000000
5.790000,0.030813,0.000000,0.000000,0.000000
5.820000,0.033213,0.000000,0.000000,0.000000
5.850000,0.035703,0.000000,0.000000,0.000000
5.880000,0.038283,0.000000,0.000000,0.000000
5.910000,0.040953,0.000000,0.000000,0.000000
5.940000,0.043713,0.000000,0.000000,0.000000
5.970000,0.046563,0.000000,0.000000,0.000000
6.000000,0.049503,0.000000,0.000000,0.000000
6.030000,0.052533,0.000000,0.000000,0.000000
6.050000,0.054603,0.000000,0.000000,0.000000
6.080000,0.057783,0.000000,0.000000,0.000000
6.110000,0.061053,0.000000,0.000000,0.000000
6.150000,0.065553,0.000000,0.000000,0.000000
6.180000,0.069033,0.000000,0.000000,0.000000
6.210000,0.072603,0.000000,0.000000,0.000000
6.240000,0.076263,0.000000,0.000000,0.000000
6.270000,0.080013,0.000000,0.000000,0.000000
6.300000,0.083853,0.000000,0.000000,0.000000
6.330000,0.087783,0.000000,0.000000,0.000000
6.350000,0.090453,0.000000,0.000000,0.000000
6.380000,0.094533,0.000000,0.000000,0.000000
6.410000,0.098703,0.000000,0.000000,0.000000
6.440000,0.102963,0.000000,0.000000,0.000000
6.460000,0.105853,0.000000,0.000000,0.000000
6.490000,0.110263,0.000000,0.000000,0.000000
6.520000,0.114763,0.000000,0.000000,0.000000
6.540000,0.117813,0.000000,0.000000,0.000000
6.570000,0.122463,0.000000,0.000000,0.000000
6.600000,0.127203,0.000000,0.000000,0.000000
6.630000,0.132033,0.000000,0.000000,0.000000
6.660000,0.136953,0.000000,0.000000,0.000000
6.690000,0.141963,0.000000,0.000000,0.000000
6.710000,0.145353,0.000000,0.000000,0.000000
6.740000,0.150513,0.000000,0.000000,0.000000
6.770000,0.155763,0.000000,0.000000,0.000000
6.800000,0.161103,0.000000,0.000000,0.000000
6.830000,0.166533,0.000000,0.000000,0.000000
6.860000,0.172053,0.000000,0.000000,0.000000
6.890000,0.177663,0.000000,0.000000,0.000000
6.920000,0.183363,0.000000,0.000000,0.000000
6.950000,0.189153,0.000000,0.000000,0.000000
6.970000,0.193063,0.000000,0.000000,0.000000
7.000000,0.199003,0.000000,0.000000,0.000000
7.030000,0.205033,0.000000,0.000000,0.000000
7.050000,0.209103,0.000000,0.000000,0.000000
7.080000,0.215283,0.000000,0.000000,0.000000
7.110000,0.221553,0.000000,0.000000,0.000000
7.140000,0.227913,0.000000,0.000000,0.000000
7.170000,0.234363,0.000000,0.000000,0.000000
7.200000,0.240903,0.000000,0.000000,0.000000
7.230000,0.247533,0.000000,0.000000,0.000000
7.260000,0.254253,0.000000,0.000000,0.000000
7.280000,0.258783,0.000000,0.000000,0.000000
7.310000,0.265653,0.000000,0.000000,0.000000
7.340000,0.272613,0.000000,0.000000,0.000000
7.370000,0.279663,0.000000,0.000000,0.000000
7.400000,0.286803,0.000000,0.000000,0.000000
7.430000,0.294033,0.000000,0.000000,0.000000
7.460000,0.301353,0.000000,0.000000,0.000000
7.480000,0.306283,0.000000,0.000000,0.000000
7.510000,0.313753,0.000000,0.000000,0.000000
7.540000,0.321313,0.000000,0.000000,0.000000
7.570000,0.328963,0.000000,0.000000,0.000000
7.600000,0.336703,0.000000,0.000000,0.000000
7.630000,0.344533,0.000000,0.000000,0.000000
7.650000,0.349803,0.000000,0.000000,0.000000
7.670000,0.355113,0.000000,0.000000,0.000000
7.700000,0.363153,0.000000,0.000000,0.000000
7.730000,0.371283,0.000000,0.000000,0.000000
7.760000,0.379503,0.000000,0.000000,0.000000
7.790000,0.387813,0.000000,0.000000,0.000000
7.810000,0.393403,0.000000,0.000000,0.000000
7.840000,0.401863,0.000000,0.000000,0.000000
7.870000,0.410413,0.000000,0.000000,0.000000
7.900000,0.419053,0.000000,0.000000,0.000000
7.930000,0.427783,0.000000,0.000000,0.000000
7.960000,0.436603,0.000000,0.000000,0.000000
7.990000,0.445513,0.000000,0.000000,0.000000
8.020000,0.454513,0.000000,0.000000,0.000000
8.050000,0.463603,0.000000,0.000000,0.000000
8.080000,0.472783,0.000000,0.000000,0.000000
8.100000,0.478953,0.000000,0.000000,0.000000
8.130000,0.488283,0.000000,0.000000,0.000000
8.160000,0.497703,0.000000,0.000000,0.000000
8.190000,0.507213,0.000000,0.000000,0.000000
8.220000,0.516813,0.000000,0.000000,0.000000
8.260000,0.529753,0.000000,0.000000,0.000000
8.290000,0.539563,0.000000,0.000000,0.000000
8.320000,0.549463,0.000000,0.000000,0.000000
8.350000,0.559453,0.000000,0.000000,0.000000
8.370000,0.566163,0.000000,0.000000,0.000000
8.400000,0.576303,0.000000,0.000000,0.000000
8.420000,0.583113,0.000000,0.000000,0.000000
8.460000,0.596853,0.000000,0.000000,0.000000
8.490000,0.607263,0.000000,0.000000,0.000000
8.520000,0.617763,0.000000,0.000000,0.000000
8.540000,0.624813,0.000000,0.000000,0.000000
8.580000,0.639033,0.000000,0.000000,0.000000
8.600000,0.646203,0.000000,0.000000,0.000000
8.630000,0.657033,0.000000,0.000000,0.000000
8.660000,0.667953,0.000000,0.000000,0.000000
8.690000,0.678963,0.000000,0.000000,0.000000
8.710000,0.686353,0.000000,0.000000,0.000000
8.750000,0.701253,0.000000,0.000000,0.000000
8.770000,0.708763,0.000000,0.000000,0.000000
8.800000,0.720103,0.000000,0.000000,0.000000
8.830000,0.731533,0.000000,0.000000,0.000000
8.860000,0.743053,0.000000,0.000000,0.000000
8.880000,0.750783,0.000000,0.000000,0.000000
8.910000,0.762453,0.000000,0.000000,0.000000
8.930000,0.770283,0.000000,0.000000,0.000000
8.960000,0.782103,0.000000,0.000000,0.000000
8.980000,0.790033,0.000000,0.000000,0.000000
9.010000,0.802000,0.000000,0.000000,0.000000
9.030000,0.810000,0.000000,0.000000,0.000000
9.060000,0.822000,0.000000,0.000000,0.000000
9.090000,0.834000,0.000000,0.000000,0.000000
9.120000,0.846000,0.000000,0.000000,0.000000
9.160000,0.862000,0.000000,0.000000,0.000000
9.190000,0.874000,0.000000,0.000000,0.000000
9.220000,0.886000,0.000000,0.000000,0.000000
9.250000,0.898000,0.000000,0.000000,0.000000
9.280000,0.910000,0.000000,0.000000,0.000000
9.310000,0.922000,0.000000,0.000000,0.000000
9.340000,0.934000,0.000000,0.000000,0.000000
9.370000,0.946000,0.000000,0.000000,0.000000
9.390000,0.954000,0.000000,0.000000,0.000000
9.420000,0.966000,0.000000,0.000000,0.000000
9.450000,0.978000,0.000000,0.000000,0.000000
9.470000,0.986000,0.000000,0.000000,0.000000
9.510000,1.002000,0.000000,0.000000,0.000000
9.530000,1.010000,0.000000,0.000000,0.000000
9.560000,1.022000,0.000000,0.000000,0.000000
9.590000,1.034000,0.000000,0.000000,0.000000
9.610000,1.042000,0.000000,0.000000,0.000000
9.640000,1.054000,0.000000,0.000000,0.000000
9.670000,1.066000,0.000000,0.000000,0.000000
9.700000,1.078000,0.000000,0.000000,0.000000
9.730000,1.090000,0.000000,0.000000,0.000000
9.750000,1.098000,0.000000,0.000000,0.000000
9.780000,1.110000,0.000000,0.000000,0.000000
9.810000,1.122000,0.000000,0.000000,0.000000
9.840000,1.134000,0.000000,0.000000,0.000000
9.870000,1.146000,0.000000,0.000000,0.000000
9.900000,1.158000,0.000000,0.000000,0.000000
9.940000,1.174000,0.000000,0.000000,0.000000
9.960000,1.182000,0.000000,0.000000,0.000000
9.990000,1.194000,0.000000,0.000000,0.000000
10.020000,1.206000,0.000000,0.000000,0.000000
10.040000,1.214000,0.000000,0.000000,0.000000
10.070000,1.226000,0.000000,0.000000,0.000000
10.110000,1.242000,0.000000,0.000000,0.000000
10.140000,1.254000,0.000000,0.000000,0.000000
10.170000,1.266000,0.000000,0.000000,0.000000
10.200000,1.278000,0.000000,0.000000,0.000000
10.230000,1.290000,0.000000,0.000000,0.000000
10.260000,1.302000,0.000000,0.000000,0.000000
10.290000,1.314000,0.000000,0.000000,0.000000
10.320000,1.326000,0.000000,0.000000,0.000000
10.350000,1.338000,0.000000,0.000000,0.000000
10.380000,1.350000,0.000000,0.000000,0.000000
10.410000,1.362000,0.000000,0.000000,0.000000
10.440000,1.374000,0.000000,0.000000,0.000000
10.470000,1.386000,0.000000,0.000000,0.000000
10.490000,1.394000,0.000000,0.000000,0.000000
10.520000,1.406000,0.000000,0.000000,0.000000
10.560000,1.422000,0.000000,0.000000,0.000000
