time,linear_x,linear_y,linear_z,angular_z
0.043532,0.000000,0.000000,0.000000,0.000000
0.053582,0.000000,0.000000,0.000000,0.000000
0.073487,0.000000,0.000000,0.000000,0.000000
0.083545,0.000000,0.000000,0.000000,0.000000
0.103570,0.000000,0.000000,0.000000,0.000000
0.123559,0.000000,0.000000,0.000000,0.000000
0.143489,0.000000,0.000000,0.000000,0.000000
0.163487,0.000000,0.000000,0.000000,0.000000
0.183529,0.000000,0.000000,0.000000,0.000000
0.203529,0.000000,0.000000,0.000000,0.000000
-0.040030,0.000000,0.000000,0.000000,0.000000
-0.019991,0.000000,0.000000,0.000000,0.000000
0.009999,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.000000,0.000000
0.069998,0.000000,0.000000,0.000000,0.000000
0.099994,0.000000,0.000000,0.000000,0.000000
0.130052,0.000000,0.000000,0.000000,0.000000
0.149986,0.000000,0.000000,0.000000,0.000000
0.179994,0.000000,0.000000,0.000000,0.000000
0.210040,0.000000,0.000000,0.000000,0.000000
0.250108,0.000000,0.000000,0.000000,0.000000
0.279991,0.000000,0.000000,0.000000,0.000000
0.310037,0.000000,0.000000,0.000000,0.000000
0.340049,0.000000,0.000000,0.000000,0.000000
0.370008,0.000000,0.000000,0.000000,0.000000
0.390014,0.000000,0.000000,0.000000,0.000000
0.430036,0.000000,0.000000,0.000000,0.000000
0.450048,0.000000,0.000000,0.000000,0.000000
0.479998,0.000000,0.000000,0.000000,0.000000
0.510003,0.000000,0.000000,0.000000,0.000000
0.530003,0.000000,0.000000,0.000000,0.000000
0.560003,0.000000,0.000000,0.000000,0.000000
0.590046,0.000000,0.000000,0.000000,0.000000
0.620025,0.000000,0.000000,0.000000,0.000000
0.650120,0.000000,0.000000,0.000000,0.000000
0.680032,0.000000,0.000000,0.000000,0.000000
0.710037,0.000000,0.000000,0.000000,0.000000
0.730003,0.000000,0.000000,0.000000,0.000000
0.760014,0.000000,0.000000,0.000000,0.000000
0.789996,0.000000,0.000000,0.000000,0.000000
0.819990,0.000000,0.000000,0.000000,0.000000
0.849989,0.000000,0.000000,0.000000,0.000000
0.879997,0.000000,0.000000,0.000000,0.000000
0.909992,0.000000,0.000000,0.000000,0.000000
0.930057,0.000000,0.000000,0.000000,0.000000
0.960025,0.000000,0.000000,0.000000,0.000000
0.980025,0.000000,0.000000,0.000000,0.000000
1.010061,0.000000,0.000000,0.000000,0.000000
1.030021,0.000000,0.000000,0.000000,0.000000
1.059999,0.000000,0.000000,0.000000,0.000000
1.089994,0.000000,0.000000,0.000000,0.000000
1.120028,0.000000,0.000000,0.000000,0.000000
1.150048,0.000000,0.000000,0.000000,0.000000
1.180003,0.000000,0.000000,0.000000,0.000000
1.209992,0.000000,0.000000,0.000000,0.000000
1.249989,0.000000,0.000000,0.000000,0.000000
1.280046,0.000000,0.000000,0.000000,0.000000
1.310000,0.000000,0.000000,0.000000,0.000000
1.329993,0.000000,0.000000,0.000000,0.000000
1.360041,0.000000,0.000000,0.000000,0.000000
1.380004,0.000000,0.000000,0.000000,0.000000
1.410039,0.000000,0.000000,0.000000,0.000000
1.439994,0.000000,0.000000,0.000000,0.000000
1.469976,0.000000,0.000000,0.000000,0.000000
1.500021,0.000000,0.000000,0.000000,0.000000
1.539989,0.000000,0.000000,0.000000,0.000000
1.560003,0.000000,0.000000,0.000000,0.000000
1.590040,0.000000,0.000000,0.000000,0.000000
1.630019,0.000000,0.000000,0.000000,0.000000
1.659997,0.000000,0.000000,0.000000,0.000000
1.690040,0.000000,0.000000,0.000000,0.000000
1.719996,0.000000,0.000000,0.000000,0.000000
1.750012,0.000000,0.000000,0.000000,0.000000
1.780026,0.000000,0.000000,0.000000,0.000000
1.810031,0.000000,0.000000,0.000000,0.000000
1.830025,0.000000,0.000000,0.000000,0.000000
1.859984,0.000000,0.000000,0.000000,0.000000
1.879990,0.000000,0.000000,0.000000,0.000000
1.910037,0.000000,0.000000,0.000000,0.000000
1.940031,0.000000,0.000000,0.000000,0.000000
1.970027,0.000000,0.000000,0.000000,0.000000
2.000024,0.000000,0.000000,0.000000,0.000000
2.030031,0.000000,0.000000,0.000000,0.000000
2.060006,0.000000,0.000000,0.000000,0.000000
2.090028,0.000000,0.000000,0.000000,0.000000
