time,x,y,z,alpha
-1767634638.377088,0.000000,0.000000,0.000000,0.000000
-1767634638.367088,0.000000,0.000000,0.000000,0.000000
-1767634638.357088,0.000000,0.000000,0.000000,0.000000
-1767634638.347088,0.000000,0.000000,0.000000,0.000000
-1767634638.337088,0.000000,0.000000,0.000000,0.000000
-1767634638.327088,0.000000,0.000000,0.000000,0.000000
-1767634638.317088,0.000000,0.000000,0.000000,0.000000
-1767634638.277088,0.000000,0.000000,0.000000,0.000000
-1767634638.247088,0.000000,0.000000,0.000000,0.000000
-1767634638.207088,0.000000,0.000000,0.000000,0.000000
-1767634638.177088,0.000000,0.000000,0.000000,0.000000
-1767634638.147088,0.000000,0.000000,0.000000,0.000000
-1767634638.117088,0.000000,0.000000,0.000000,0.000000
-1767634638.087088,0.000000,0.000000,0.000000,0.000000
-1767634638.057088,0.000000,0.000000,0.000000,0.000000
-1767634638.027088,0.000000,0.000000,0.000000,0.000000
-1767634637.997088,0.000000,0.000000,0.000000,0.000000
-1767634637.977088,0.000000,0.000000,0.000000,0.000000
-1767634637.937088,0.000000,0.000000,0.000000,0.000000
-1767634637.907088,0.000000,0.000000,0.000000,0.000000
-1767634637.877088,0.000000,0.000000,0.000000,0.000000
-1767634637.857088,0.000000,0.000000,0.000000,0.000000
-1767634637.827088,0.000000,0.000000,0.000000,0.000000
-1767634637.807088,0.000000,0.000000,0.000000,0.000000
-1767634637.777088,0.000000,0.000000,0.000000,0.000000
-1767634637.747088,0.000000,0.000000,0.000000,0.000000
-1767634637.717088,0.000000,0.000000,0.000000,0.000000
-1767634637.697088,0.000000,0.000000,0.000000,0.000000
-1767634637.667088,0.000000,0.000000,0.000000,0.000000
-1767634637.637088,0.000000,0.000000,0.000000,0.000000
-1767634637.607088,0.000000,0.000000,0.000000,0.000000
-1767634637.577088,0.000000,0.000000,0.000000,0.000000
-1767634637.547088,0.000000,0.000000,0.000000,0.000000
-1767634637.527088,0.000000,0.000000,0.000000,0.000000
-1767634637.497088,0.000000,0.000000,0.000000,0.000000
-1767634637.477088,0.000000,0.000000,0.000000,0.000000
-1767634637.447088,0.000000,0.000000,0.000000,0.000000
-1767634637.417088,0.000000,0.000000,0.000000,0.000000
-1767634637.387088,0.000000,0.000000,0.000000,0.000000
-1767634637.357088,0.000000,0.000000,0.000000,0.000000
-1767634637.337088,0.000000,0.000000,0.000000,0.000000
-1767634637.297088,0.000000,0.000000,0.000000,0.000000
-1767634637.267088,0.000000,0.000000,0.000000,0.000000
-1767634637.237088,0.000000,0.000000,0.000000,0.000000
-1767634637.207088,0.000000,0.000000,0.000000,0.000000
-1767634637.177088,0.000000,0.000000,0.000000,0.000000
-1767634637.147088,0.000000,0.000000,0.000000,0.000000
-1767634637.127088,0.000000,0.000000,0.000000,0.000000
-1767634637.107088,0.000000,0.000000,0.000000,0.000000
-1767634637.077088,0.000000,0.000000,0.000000,0.000000
-1767634637.047088,0.000000,0.000000,0.000000,0.000000
-1767634637.017088,0.000000,0.000000,0.000000,0.000000
-1767634636.987088,0.000000,0.000000,0.000000,0.000000
-1767634636.967088,0.000000,0.000000,0.000000,0.000000
-1767634636.937088,0.000000,0.000000,0.000000,0.000000
-1767634636.907088,0.000000,0.000000,0.000000,0.000000
-1767634636.877088,0.000000,0.000000,0.000000,0.000000
-1767634636.857088,0.000000,0.000000,0.000000,0.000000
-1767634636.827088,0.000000,0.000000,0.000000,0.000000
-1767634636.797088,0.000000,0.000000,0.000000,0.000000
-1767634636.767088,0.000000,0.000000,0.000000,0.000000
-1767634636.737088,0.000000,0.000000,0.000000,0.000000
-1767634636.707088,0.000000,0.000000,0.000000,0.000000
-1767634636.677088,0.000000,0.000000,0.000000,0.000000
-1767634636.647088,0.000000,0.000000,0.000000,0.000000
-1767634636.617088,0.000000,0.000000,0.000000,0.000000
-1767634636.587088,0.000000,0.000000,0.000000,0.000000
-1767634636.567088,0.000000,0.000000,0.000000,0.000000
-1767634636.537088,0.000000,0.000000,0.000000,0.000000
-1767634636.507088,0.000000,0.000000,0.000000,0.000000
-1767634636.477088,0.000000,0.000000,0.000000,0.000000
-1767634636.447088,0.000000,0.000000,0.000000,0.000000
-1767634636.427088,0.000000,0.000000,0.000000,0.000000
-1767634636.397088,0.000000,0.000000,0.000000,0.000000
-1767634636.357088,0.000000,0.000000,0.000000,0.000000
-1767634636.327088,0.000000,0.000000,0.000000,0.000000
-1767634636.307088,0.000000,0.000000,0.000000,0.000000
-1767634636.267088,0.000000,0.000000,0.000000,0.000000
-1767634636.247088,0.000000,0.000000,0.000000,0.000000
-1767634636.217088,0.000000,0.000000,0.000000,0.000000
-1767634636.187088,0.000000,0.000000,0.000000,0.000000
-1767634636.157088,0.000000,0.000000,0.000000,0.000000
-1767634636.127088,0.000000,0.000000,0.000000,0.000000
-1767634636.097088,0.000000,0.000000,0.000000,0.000000
-1767634636.067088,0.000000,0.000000,0.000000,0.000000
-1767634636.037088,0.000000,0.000000,0.000000,0.000000
-1767634636.007088,0.000000,0.000000,0.000000,0.000000
-1767634635.977088,0.000000,0.000000,0.000000,0.000000
-1767634635.937088,0.000000,0.000000,0.000000,0.000000
-1767634635.907088,0.000000,0.000000,0.000000,0.000000
-1767634635.877088,0.000000,0.000000,0.000000,0.000000
-1767634635.847088,0.000000,0.000000,0.000000,0.000000
-1767634635.817088,0.000000,0.000000,0.000000,0.000000
-1767634635.787088,0.000000,0.000000,0.000000,0.000000
-1767634635.757088,0.000000,0.000000,0.000000,0.000000
-1767634635.727087,0.000000,0.000000,0.000000,0.000000
-1767634635.697088,0.000000,0.000000,0.000000,0.000000
-1767634635.677088,0.000000,0.000000,0.000000,0.000000
-1767634635.647088,0.000000,0.000000,0.000000,0.000000
-1767634635.607088,0.000000,0.000000,0.000000,0.000000
-1767634635.577088,0.000000,0.000000,0.000000,0.000000
-1767634635.547088,0.000000,0.000000,0.000000,0.000000
-1767634635.527088,0.000000,0.000000,0.000000,0.000000
-1767634635.497088,0.000000,0.000000,0.000000,0.000000
-1767634635.457088,0.000000,0.000000,0.000000,0.000000
-1767634635.427088,0.000000,0.000000,0.000000,0.000000
-1767634635.397088,0.000000,0.000000,0.000000,0.000000
-1767634635.367088,0.000000,0.000000,0.000000,0.000000
-1767634635.337088,0.000000,0.000000,0.000000,0.000000
-1767634635.307088,0.000000,0.000000,0.000000,0.000000
-1767634635.277088,0.000000,0.000000,0.000000,0.000000
-1767634635.247088,0.000000,0.000000,0.000000,0.000000
-1767634635.217088,0.000000,0.000000,0.000000,0.000000
-1767634635.187088,0.000000,0.000000,0.000000,0.000000
-1767634635.167088,0.000000,0.000000,0.000000,0.000000
-1767634635.137088,0.000000,0.000000,0.000000,0.000000
-1767634635.107088,0.000000,0.000000,0.000000,0.000000
-1767634635.087088,0.000000,0.000000,0.000000,0.000000
-1767634635.057088,0.000000,0.000000,0.000000,0.000000
-1767634635.027088,0.000000,0.000000,0.000000,0.000000
-1767634634.997088,0.000000,0.000000,0.000000,0.000000
-1767634634.967088,0.000000,0.000000,0.000000,0.000000
-1767634634.947088,0.000000,0.000000,0.000000,0.000000
-1767634634.917088,0.000000,0.000000,0.000000,0.000000
-1767634634.887088,0.000000,0.000000,0.000000,0.000000
-1767634634.857088,0.000000,0.000000,0.000000,0.000000
-1767634634.827088,0.000000,0.000000,0.000000,0.000000
-1767634634.797088,0.000000,0.000000,0.000000,0.000000
-1767634634.767088,0.000000,0.000000,0.000000,0.000000
-1767634634.747088,0.000000,0.000000,0.000000,0.000000
-1767634634.727087,0.000000,0.000000,0.000000,0.000000
-1767634634.697088,0.000000,0.000000,0.000000,0.000000
-1767634634.667088,0.000000,0.000000,0.000000,0.000000
-1767634634.637088,0.000000,0.000000,0.000000,0.000000
-1767634634.607088,0.000000,0.000000,0.000000,0.000000
-1767634634.587088,0.000000,0.000000,0.000000,0.000000
-1767634634.557088,0.000000,0.000000,0.000000,0.000000
-1767634634.527088,0.000000,0.000000,0.000000,0.000000
-1767634634.497088,0.000000,0.000000,0.000000,0.000000
-1767634634.467088,0.000000,0.000000,0.000000,0.000000
-1767634634.447088,0.000000,0.000000,0.000000,0.000000
-1767634634.417088,0.000002,0.000000,0.000000,0.000000
-1767634634.397088,0.000004,0.000000,0.000000,0.000000
-1767634634.367088,0.000011,0.000000,0.000000,0.000000
